"","cluster","Mean.of.log.T0","Mean.of.log.T1","Mean.of.log.T2","Mean.of.log.T3","Mean.of.log.T4","Mean.of.log.T5","Mean.of.log.T6","Mean.of.log.T7","Mean.of.log.T8","Mean.of.log.T9","Mean.of.log.T10","Mean.of.log.T11","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3","membership.of.cluster.4"
"ENSG00000123999",4,-1.6833956639539,-1.22061516094569,0.653710407689455,-0.490216300073188,-0.667822774955888,1.76699215132106,-0.436522110805841,-0.0779823314251589,0.482424356711026,0.102209215404021,0.166656880522795,1.40456133051131,FALSE,0.324493390862434,0.146419024544363,0.323993399396883,0.20509418519632,0.324493390862434
"ENSG00000171124",3,0.294587536045746,0.425099934545404,-1.43427385101564,0.281700640261707,-0.12261567084446,0.808878153148483,1.01532825973759,0.370250614373773,0.661535698786101,-1.88267655194319,-1.36850450314777,0.950689740052245,FALSE,0.324510595675298,0.158987284477313,0.262394019412701,0.324510595675298,0.254108100434687
"ENSG00000162105",4,-0.22275646023831,-0.0883110833801184,0.159725924660931,-1.27478431478326,-1.11660566254436,0.0752388793365691,0.879782329709686,-0.338384735833579,-0.851195679891557,2.50091120037703,0.396762092967586,-0.120382490380616,FALSE,0.324958443991695,0.290819217825455,0.0811658900300512,0.303056448152799,0.324958443991695
"ENSG00000162493",3,-0.677296867405105,0.420661895358676,1.90333889650447,-0.0460386247996853,-1.06231705095624,-1.10463222007107,0.866901831380225,-0.386527310028774,-0.713630748156905,-0.627940459209488,1.59901244211992,-0.171531784736019,FALSE,0.325270049288465,0.169816712160384,0.183374152820152,0.325270049288465,0.321539085730999
"ENSG00000179148",4,0.227776079838533,1.38396569983746,-2.10244995638243,-0.375243735820367,-0.498016844542794,1.24671390803692,0.156352904144451,-0.145252983187491,0.607469096940983,0.621954883928457,-1.34810736419826,0.224838311404531,FALSE,0.325864172573121,0.214700958644196,0.191776940288873,0.26765792849381,0.325864172573121
"ENSG00000173905",1,0.663829087792381,0.450984803828849,-2.54189731303506,0.562907456769027,-0.185483614206335,0.284995279858513,0.830266964651171,0.080965664784846,0.265068847956833,1.13720596922826,-1.09329089131432,-0.455552256314166,FALSE,0.325925339328956,0.325925339328956,0.0640140671670528,0.294153556262081,0.31590703724191
"ENSG00000069696",3,0.662334642376716,-0.695896598754665,0.533541588926535,-1.47518141688161,-0.581736958987358,-1.61752865122553,1.13693699818812,-0.610733940108324,-0.256050050315147,1.24891164049076,0.838978670093822,0.816424076196687,FALSE,0.325978362829947,0.223428843112457,0.146658073235344,0.325978362829947,0.303934720822252
"ENSG00000128422",4,-0.990998877977209,1.15267836274794,-0.800546101077517,0.138899594540136,-0.895376410458855,2.49062337315666,-0.195815574436406,0.149761659910431,-0.430501735421586,-0.281147881473462,-0.735381475853704,0.397805066343576,FALSE,0.326180992740734,0.174744601114038,0.253857544966692,0.245216861178536,0.326180992740734
"ENSG00000102554",1,-0.404333039361987,0.71033676675242,-1.92512679355062,0.759084852637321,0.0410637947676515,0.978056390069575,0.990582924216173,-0.168661683697617,-0.0612660988946668,1.03937880775249,-1.71389515108486,-0.245220769605873,FALSE,0.326894503784504,0.326894503784504,0.0493415900774476,0.324061141838451,0.299702764299598
"ENSG00000121898",4,-1.37465714423029,0.982514016171412,0.559490048341882,1.16600929854932,-0.477096131738597,0.474783063498993,0.646935199045461,-1.22275442257444,-0.0448300861585271,-1.85606652811024,0.53813553056072,0.607537156644307,FALSE,0.326994546170764,0.162499621769792,0.201521268542054,0.30898456351739,0.326994546170764
"ENSG00000133878",4,-0.89094021112349,-0.735672874504326,2.14216125276705,-0.265538519673554,-0.917711708351363,-0.149301374202881,0.487233669380904,0.318042796614897,-0.433169434744495,0.103231734546131,1.50236377461584,-1.16069910532471,FALSE,0.327208950547408,0.189395813275105,0.18633088354962,0.297064352627868,0.327208950547408
"ENSG00000166592",2,-1.11767675273679,1.39306103935181,1.10214296263265,-1.0737984430717,-0.533836847191136,-1.11660711321432,0.853895530543792,-0.009328990509122,-0.579056803357876,-0.918278936332267,1.04383158394468,0.955652769940273,FALSE,0.327348129752717,0.140889318016466,0.327348129752717,0.281356489433654,0.250406062797163
"ENSG00000281320",2,1.41197406466635,-0.437015916558665,0.381185060081644,-0.503934202169525,2.3606236775032,-1.32930196115037,-0.400019697855464,-0.41654990617562,-0.0330329284841309,-0.0656549448717451,-0.117531330048665,-0.85074191493701,FALSE,0.328158173004965,0.162241893820883,0.328158173004965,0.213539523405197,0.296060409768955
"ENSG00000162931",4,-0.569190837393935,-0.226248406061791,2.29422395404989,-0.00791006630537847,-0.194850225953436,-0.945190051641231,0.555077774716952,-0.450660960795641,-0.934015131487767,-0.671662644225945,1.5584462806714,-0.408019685573116,FALSE,0.328331565288766,0.163016402607099,0.213706375886848,0.294945656217286,0.328331565288766
"ENSG00000198162",4,-0.720886917102812,-2.46754029807727,0.0208030592925097,-0.514000329045815,0.540901040808424,1.13983311747715,-0.879214381962901,0.636924512516404,0.533079170600745,0.547875105213365,0.361194212743326,0.801031707536867,FALSE,0.328911509330227,0.160033758732197,0.326329204773856,0.18472552716372,0.328911509330227
"ENSG00000144867",4,0.441835744855268,0.585737427008353,-0.133117642482334,-0.46636668594522,-1.38375767776419,1.89726897165888,-0.748944135468936,0.449869610576242,-1.6813649025293,0.381494882265639,-0.287843281133607,0.945187688959206,FALSE,0.329098851775447,0.160155357345989,0.316027274938088,0.194718515940475,0.329098851775447
"ENSG00000143443",4,1.93756449390625,-0.563307371208484,-0.91222831499466,0.584053939688525,-0.933603830478827,0.613827870537306,0.891688338683248,-0.0106944805777831,-0.601874808439291,1.07275468945415,-0.899174497781993,-1.17900602878844,FALSE,0.329197215746935,0.317152244955758,0.0569618165452275,0.296688722752079,0.329197215746935
"ENSG00000110583",2,1.55012759357877,-1.35920541906279,-1.49441450896001,-1.09426133942956,0.516487515241525,0.67976341562129,0.0809039545461175,0.34490647238534,1.32061002486894,0.214743021757372,-0.819131670608618,0.0594709400616322,FALSE,0.329442102198046,0.174113085908479,0.329442102198046,0.231477247994627,0.264967563898849
"ENSG00000105085",2,1.36745860261038,-1.44330927694231,-1.13859258928518,-0.390579816860007,1.06980389676705,1.766434111945,-0.629336908533424,-0.323106522952107,0.452281588479544,0.267866208971325,-0.669027015982108,-0.329892278218157,FALSE,0.329653517994112,0.16399027292131,0.329653517994112,0.195550592823485,0.310805616261093
"ENSG00000198901",2,1.1153956790257,-1.03284437887118,-1.12388278481074,-0.5254603754063,-0.219163841882217,2.12649100445538,-0.880181689609676,-0.635298208925373,0.950421868627998,0.641360782526217,-0.202892650289618,-0.21394540484018,FALSE,0.329782773492676,0.167342619706765,0.329782773492676,0.185449384256704,0.317425222543854
"ENSG00000196449",4,1.56156599237315,-0.754056254845901,-1.99503848769353,-0.422448854368764,0.519582725347065,0.507444478715663,-0.778837185926693,0.136153642150107,1.07527341693781,0.660311977984919,-0.947589564239503,0.437638113565682,FALSE,0.330878494206171,0.182356367426526,0.296082281399627,0.190682856967676,0.330878494206171
"ENSG00000183844",2,-1.57099918205577,1.64216063431449,0.0410072957777316,0.76203149081112,-0.530963278015275,0.714985411564852,-0.174880781713426,0.210731888140901,-0.546833268661719,-1.77686534262519,0.321117980632018,0.908507151830267,FALSE,0.331059145915255,0.135222404002508,0.331059145915255,0.22966958619363,0.304048863888607
"ENSG00000187634",4,-0.0167133941261775,0.781905937940939,-1.49995389458835,-0.515348978988302,-0.821353250994117,1.73276676697677,-0.178537905608815,0.625779429378088,0.113430759663911,0.451216490529283,-1.62680205564962,0.9536100954664,FALSE,0.331675430341411,0.179715745853548,0.253557354955529,0.235051468849512,0.331675430341411
"ENSG00000101680",3,-0.646028783774812,0.0180264902776996,1.87575613018603,0.140023146105348,-0.16045834871713,-0.661430842682232,1.00131816735,-1.01339201266252,-0.509250030405227,-1.24895782396105,1.60392087998987,-0.399526971705973,FALSE,0.331718207693171,0.162236117694962,0.209815899833,0.331718207693171,0.296229774778867
"ENSG00000171451",4,-0.722053981319578,-0.692414263453053,2.21948571863956,-0.474606889800777,-0.310214160947855,-1.2304444751734,0.758850166699558,-0.525285676389711,-0.145163821203888,0.702714533445465,1.15378846114211,-0.734655611638438,FALSE,0.331798404996098,0.212223038597348,0.142051031625024,0.31392752478153,0.331798404996098
"ENSG00000170954",2,-0.794683660585231,-1.06292869638807,1.90781323839324,-0.484336978967924,1.29005026919634,-0.581559149955416,0.0915964746074983,-0.0303538289771578,0.0716644000365369,-0.650996204908021,1.32476768462406,-1.08103354707586,FALSE,0.331841860217312,0.141745989319477,0.331841860217312,0.244782147256543,0.281630003206668
"ENSG00000183783",1,-0.452778323776625,-0.885001267366516,1.00141208455306,0.391300525580458,-0.453694389958578,-1.30322000167512,1.41741556993841,-0.771787627439392,-1.17712450041819,1.61657307556763,0.589220901206484,0.0276839537883687,FALSE,0.33202700359225,0.33202700359225,0.0353021134869915,0.324640374177272,0.308030508743487
"ENSG00000230366",4,1.14473549875246,1.43297212106487,-0.468950587201184,-0.706138990078026,0.156622356267607,1.38058955833115,-0.802796652121325,-0.797069141884192,-0.298929952416805,0.914352432307103,-0.31811129849419,-1.63727534452747,FALSE,0.332192557048074,0.164266205032812,0.306989177168625,0.196552060750489,0.332192557048074
"ENSG00000119938",4,-1.1149278471154,-0.469011947284222,1.94482539092785,-0.738893213287591,0.301886606138172,-1.49859096494176,0.289329450151685,-0.655354401499759,0.0125710320213642,0.116517765767589,1.49902491135282,0.312623217769256,FALSE,0.332473285304688,0.158213548973023,0.245147936679173,0.264165229043115,0.332473285304688
"ENSG00000281165",2,0.283237863209283,0.442608373116993,-0.421783046090727,-1.13261297628205,-0.895839597698901,1.56545789587282,0.678197884754034,-0.583076454022673,-1.17155376532884,-0.480987556735269,-0.174593702605132,1.89094508181047,FALSE,0.332643744824717,0.148354697994391,0.332643744824717,0.261694913655602,0.25730664352529
"ENSG00000116704",4,0.909110476856169,-0.496636492542115,-1.37283256804533,-0.621048068724182,1.21888857593003,-1.33092398283935,-0.488398291012478,-0.0781610821267566,1.60596514930187,0.543347661513588,-0.742882971955202,0.853571593643756,FALSE,0.33287439516551,0.171753897145018,0.296930487098436,0.198441220591036,0.33287439516551
"ENSG00000182901",3,-1.12905821474063,-0.622732865483224,1.11213017405117,-1.27176917132217,0.486818619608809,1.0573426505938,1.40895186622609,0.561657530517078,-0.442899299203229,-1.32048363850618,0.741454080517659,-0.581411732259176,FALSE,0.333090482093885,0.133536872380309,0.328879129273476,0.333090482093885,0.204493516252331
"ENSG00000175065",3,-0.0988752927374342,-0.181932818554349,-0.0736851608119294,-2.14990633009788,-0.00273342995467243,0.0880200521657377,1.0638889180323,-0.836479883013421,0.0613007821873971,2.11810242312818,-0.000663374487950593,0.0129641141440123,FALSE,0.333133513173204,0.24140043175584,0.146829942429153,0.333133513173204,0.278636112641803
"ENSG00000179399",4,-1.12928190980512,1.0187418100115,0.407506038067207,-0.266442248461645,0.138300130703447,2.21292392889832,-0.183476680789222,-0.361275466220041,-1.05114027648334,0.297973807226123,-1.43311176366242,0.349282630515192,FALSE,0.333169249073881,0.180482328930069,0.236066809050899,0.25028161294515,0.333169249073881
"ENSG00000138134",4,0.217190819080299,0.228718138849013,-2.16168849783018,0.625150000577336,0.256683230556895,-0.0309701137874258,0.751440340515336,-0.181068711615663,0.680910451447466,0.970294157923522,-1.87146440575395,0.514804590037356,FALSE,0.333257678471711,0.314366458147832,0.0628299697172159,0.289545893663241,0.333257678471711
"ENSG00000011243",4,1.32491232515252,-2.33402751232917,-0.617628345438988,-0.455273637246899,0.605078067866939,0.712600786065402,-0.854478977181885,0.293622746666452,0.816130917168308,0.806547399029863,0.131507449373112,-0.428991219125657,FALSE,0.333454460888587,0.185614739451446,0.287517887721383,0.193412911938584,0.333454460888587
"ENSG00000127329",4,2.49885132405184,-1.38928107560133,-0.773315936290031,0.193060263094001,-0.420584973309577,0.504273213917698,0.541598652185407,-0.199663223632349,-0.849843619554368,-0.332212972176839,-0.419161036847619,0.646279384163163,FALSE,0.333493577234876,0.206033162672242,0.184972153345221,0.275501106747661,0.333493577234876
"ENSG00000164176",4,-0.104114963139787,-0.120925281065235,2.20334880970892,-0.77096456724535,-0.941941962896756,-1.0307550284726,-0.00802181654369886,-0.428855383556882,-1.10123255794396,0.275220952415095,1.16638844929431,0.861853349445933,FALSE,0.334123869742541,0.165335867315099,0.26630629708765,0.23423396585471,0.334123869742541
"ENSG00000156140",3,-0.369032941947379,-0.511735711103222,1.46260693969521,0.884338632754876,-0.981863353536469,-1.18345877200172,1.25046142581495,-0.281696889168668,-0.700353052897908,1.19518127722766,0.472728686540726,-1.23717624137806,FALSE,0.334282257138156,0.310717833126608,0.027620515308628,0.334282257138156,0.327379394426607
