"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q5U2X7",3,0.483365463231436,-0.395542825484475,-1.18541193085588,1.09758929310892,FALSE,0.404382368431926,0.379615477638579,0.216002153929494,0.404382368431926
"P62246",3,0.484040352017557,0.884437145960691,0.0393324435093142,-1.40780994148756,FALSE,0.404453170848644,0.196163123622219,0.399383705529137,0.404453170848644
"P50463",1,-0.927625902520372,1.40167652612515,-0.413732844484173,-0.0603177791206025,FALSE,0.40528400022211,0.40528400022211,0.208846403978963,0.385869595798927
"P04642",2,0.20410079310017,0.947278036467618,0.260423790258789,-1.41180261982658,FALSE,0.405569975956416,0.206680451727668,0.405569975956416,0.387749572315916
"P52504",3,0.517196670869277,0.871657068685931,0.0155957366629745,-1.40444947621818,FALSE,0.406085508879995,0.194955801231224,0.398958689888781,0.406085508879995
"Q642A4",1,-0.990567498090708,1.3838391627856,-0.311600831676004,-0.0816708330188833,FALSE,0.406275621853182,0.406275621853182,0.214143473522622,0.379580904624196
"P85968",1,-0.670588273110441,1.37506139632225,-0.805765134932413,0.101292011720603,FALSE,0.406549490389812,0.406549490389812,0.187277905789225,0.406172603820962
"A0JPQ4",3,-0.798153063530559,1.41456579991769,-0.0149718595747129,-0.601440876812416,FALSE,0.406751984314028,0.32635442493927,0.266893590746702,0.406751984314028
"P62755",3,-0.0389407975291494,1.13744489013407,0.192821775989106,-1.29132586859402,FALSE,0.406973189758254,0.229229188855208,0.363797621386537,0.406973189758254
"P05197",3,-0.806680466134843,1.4533670266097,-0.441430446709359,-0.205256113765502,FALSE,0.407641862646211,0.374136994628605,0.218221142725184,0.407641862646211
"Q4V8F9",3,-0.735389850308153,1.42648327512408,-0.650130176291942,-0.0409632485239869,FALSE,0.408570846208996,0.391074890550745,0.200354263240259,0.408570846208996
"Q925F0",3,0.938465018048178,-0.908394733983895,-0.819289550219721,0.789219266155438,FALSE,0.408730238592574,0.300889088808147,0.290380672599279,0.408730238592574
"Q5BK63",2,-0.455949953851938,0.853808422374985,0.797056492788871,-1.19491496131192,FALSE,0.409739341696538,0.240352673309808,0.409739341696538,0.349907984993655
"Q63617",2,0.222054472732967,0.927367280055935,0.27089439680599,-1.42031614959489,FALSE,0.410108023450011,0.204780812680975,0.410108023450011,0.385111163869014
"A2RRU1",2,1.42513530027703,-0.891863820107753,-0.391893607115268,-0.141377873054013,FALSE,0.412381356980643,0.20826690664855,0.412381356980643,0.379351736370807
