"","Mean of log A","Mean of log B","Mean of log C","Mean of log D","Sds","qvalue BvsA","qvalue CvsA","qvalue DvsA"
"P10719",-0.272573649534704,-0.000103873765087058,-0.289330562543523,0.164941666675455,0.193966183909094,0.331761455946434,0.997515780258928,0.0775841283348681
"P10760",0.116401114768642,0.171907877340486,-0.10647121441954,-0.125792484978763,0.175860647630794,0.596608352380973,0.968338925911827,0.263002581009802
"P10860",-0.172049417329365,0.273264151807319,0.0103717309462923,0.23172941302428,0.198462965300664,0.127370962515421,0.968338925911827,0.0954171063230843
"P10888",-0.230363466707851,-0.0867200581601461,-0.250961343655952,0.166753328249341,0.165074986139341,0.427866474017741,0.993447009228767,0.0747215470808157
"P10959",0.403979242083335,-0.893409342066879,0.61363059060895,-0.08315713825892,0.212898966865016,0.0270684870806848,0.968338925911827,0.128192980370092
"P11030",-0.356669953802534,0.240831846291031,-0.258754160100222,0.773205340213585,0.474026663727266,0.344123089059455,0.97907999674198,0.0753230075868248
"P11232",-0.306842657668086,0.284786892428115,-0.152348392363962,0.243840311989369,0.231416033388085,0.0903593981135288,0.968338925911827,0.0753230075868248
"P11240",-0.629784527948218,-0.159052156542197,-0.277453685984386,0.516321136961638,0.322648196943024,0.317311845820286,0.968338925911827,0.0222848770547006
"P11250",-0.0237318609891983,-0.0206351063350345,-0.0166565350148209,0.0526325928511012,0.199293119420042,0.641257100634873,0.997515780258928,0.495248821244312
"P11442",-0.206597176996378,0.0449261195822753,-0.0851583554090942,0.174338308638038,0.290693154859871,0.429871920373786,0.977167816460095,0.210090754328962
"P11507",0.136305546230623,0.104225224065688,0.103347047659093,0.053899067408419,0.157384058666025,0.602766008849496,0.97907999674198,0.445870350569511
"P11517",0.307836040368093,-0.82901660702708,0.645191968274574,-0.0516347580177317,0.531443696264814,0.134178012651854,0.968338925911827,0.38930155513072
"P11598",0.0199792823314415,-0.0599968900577313,-0.04362173021339,0.0842687507669646,0.331528006137304,0.600759187026509,0.980134370544289,0.561400697054695
"P11608",-0.502763679708773,0.227640257594383,0.0490564795396749,0.273329661797073,0.452782401066848,0.344123089059455,0.968338925911827,0.206161406413856
"P11661",0.0305336881194652,-0.103264872173027,-0.0705436939555602,0.00812075605941263,0.231420969335181,0.501112922222018,0.977167816460095,0.591799176651886
"P11762",0.0719387509772378,-0.094400049447385,0.194943680332176,-0.323165309406257,0.2405473898979,0.473814596446319,0.975230280804772,0.142161797779217
"P11884",-0.0846835359014457,-0.00460943549555166,-0.00990795046002123,0.178274413909138,0.243143847036823,0.574642153463539,0.97907999674198,0.264407563661146
"P11915",-0.680719770747093,-0.0489027155104638,0.0888114143694927,0.68363538403994,0.184422997083634,0.0378394924545219,0.18342970839999,0.000608906691550741
"P11951",-0.258127422872055,0.114737083831613,-0.0130289415419213,-0.0506396898755011,0.270525485916574,0.331761455946434,0.968338925911827,0.353123228060958
"P11960",0.0790374293733807,-0.11463773629982,-0.000422246175056644,0.0742474960896947,0.15109197719621,0.340834682335586,0.975230280804772,0.607766865378418
"P11980",0.0441667256099245,0.00267997935156504,-0.11605020778263,0.106181855197952,0.158981951903159,0.594648495484618,0.968338925911827,0.494664993103968
"P12001",-0.0136169563413658,0.126344365370128,-0.0301989282182919,0.237337436001935,0.235214753257391,0.495563673980068,0.997515780258928,0.267948028316209
"P12007",0.123280889034844,-0.17546865068805,0.0383612132228901,-0.0484435268238603,0.140057602984615,0.134178012651854,0.968338925911827,0.226382704607891
"P12075",-0.248920563660462,0.0869506646136158,0.0723517349293147,0.362978639638814,0.197826347702287,0.244535661251982,0.887091995485099,0.0396944525787956
"P12346",0.246635760706887,-0.357088808174981,0.544500842939541,-0.312779310841489,0.376029816750923,0.274514607953362,0.968338925911827,0.16974027781663
"P12368",0.330850229941927,0.0184238686364661,-0.1462102739847,-0.332172886238468,0.196322308821986,0.348490178173767,0.842425843791675,0.0716350539170629
"P12749",0.273646240352939,0.217096028378472,-0.263181058589207,-0.290816916020002,0.209568983972146,0.602766008849496,0.842425843791675,0.0962292685444191
"P12847",-0.392556744849901,-0.0906551001062384,-0.414580479830823,0.516583083384624,0.725680888298029,0.545302078748907,0.997515780258928,0.219528278184502
"P13086",-0.136855046027399,-0.0834529949133362,-0.190366473187962,0.32660538418191,0.271518902880487,0.602766008849496,0.97907999674198,0.133190123486125
"P13221",-0.128663103663448,0.0154560459521526,0.0808035601580953,0.280323994354343,0.278203700417747,0.518028869424748,0.968338925911827,0.173066798889943
"P13437",-0.485375777077222,0.554957506304295,-0.350717512630513,0.796942063056018,0.364763963690993,0.0594517464540517,0.97907999674198,0.0222848770547006
"P13635",0.120611558736757,-0.399248253993405,0.551846853986343,-0.280157120741704,0.353888288534668,0.317311845820286,0.968338925911827,0.250925227235354
"P13697",-0.420947860007838,0.328096210705741,-0.249515515314902,0.395995200903629,0.261476348822074,0.134178012651854,0.975230280804772,0.0763313100310529
"P13803",-0.179300320365004,0.0885801126638433,-0.120752196237789,0.22602052468241,0.157909662849817,0.244535661251982,0.97907999674198,0.0656771865773397
"P14046",0.5150662723252,-0.566683439216308,0.600688141701538,-0.464500468918537,0.570562686078773,0.187421345522912,0.986903499063367,0.132173648979343
