"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3"
"Q5I0G4",3,-0.462478175903775,1.45957722939435,-0.780192019109558,-0.216907034381021,FALSE,0.435617950483015,0.342531624522884,0.221850424994101,0.435617950483015
"Q9QZ76",1,0.136490781795837,-0.389930970855571,-1.05590582682842,1.30934601588815,FALSE,0.435889411596325,0.435889411596325,0.199905741583328,0.364204846820347
"Q3T1J1",2,0.133852908035827,-1.39670067734223,0.973416847081542,0.289430922224862,FALSE,0.436227900192587,0.263384152914824,0.436227900192587,0.300387946892589
"P01048",2,-0.234854167949298,-1.16404835271534,1.25233950454475,0.146563016119883,FALSE,0.436441443946243,0.269819999612828,0.436441443946243,0.293738556440929
"Q8CFN2",3,1.31692765310314,0.236327759687733,-0.734499581519243,-0.818755831271628,FALSE,0.436502504318912,0.203881211296514,0.359616284384574,0.436502504318912
"P14942",2,0.336376881504514,-1.46055795663105,0.808798364835442,0.31538271029109,FALSE,0.43703928169066,0.257880658153906,0.43703928169066,0.305080060155434
"P70615",2,-0.640979130536403,0.432830626234847,1.19497766292747,-0.986829158625919,FALSE,0.437440908422478,0.249544337000556,0.437440908422478,0.313014754576966
"O35987",3,1.23078203578623,-0.590533116303904,-1.00257844334928,0.362329523866952,FALSE,0.437764793545899,0.263192041002512,0.299043165451588,0.437764793545899
"P07632",2,0.856061508446359,0.604419080876901,-0.0839684894072711,-1.37651209991599,FALSE,0.437944421048434,0.191506638586076,0.437944421048434,0.370548940365491
"P28023",2,1.38354195947944,-1.00752242593757,-0.190735825292979,-0.185283708248888,FALSE,0.438330793652894,0.211193078696187,0.438330793652894,0.35047612765092
"P50503",2,0.395563731917972,0.818380032248664,0.240658262947011,-1.45460202711365,FALSE,0.438532561161756,0.203473452206402,0.438532561161756,0.357993986631842
"Q63377",2,0.694862044662732,0.705903448302105,0.0199626836487842,-1.42072817661362,FALSE,0.438898573805444,0.193391325917236,0.438898573805444,0.36771010027732
"Q9Z270",3,1.30913657253346,-0.557502829597966,-0.964406451602326,0.212772708666834,FALSE,0.439310507536347,0.250207266019244,0.310482226444409,0.439310507536347
"Q68FR9",3,0.90059753273327,0.785676656182459,-0.569389075412065,-1.11688511350366,FALSE,0.43944165417347,0.210272065576775,0.350286280249756,0.43944165417347
"Q9R1Z0",3,0.788607483780401,-0.403282914781419,-1.22736601393943,0.842041444940444,FALSE,0.439538539594846,0.320502526435991,0.239958933969163,0.439538539594846
"P97700",3,-0.426712462367446,1.42728412175252,-0.874588305954145,-0.12598335343093,FALSE,0.440131426027476,0.348207069862204,0.21166150411032,0.440131426027476
"P51650",1,-1.4585861305481,0.762822450486972,0.50374212932785,0.192021550733279,FALSE,0.440224454127563,0.440224454127563,0.24301778584295,0.316757760029488
"P04692",3,0.524222962694514,-0.0673417395369392,-1.3721812179802,0.915299994822626,FALSE,0.4402976217075,0.352833893801364,0.206868484491136,0.4402976217075
"Q63416",2,-0.28212840642109,-1.1120391858465,1.29370795495053,0.100459637317061,FALSE,0.440626926686851,0.267746484759819,0.440626926686851,0.29162658855333
"P16617",3,1.44150893865508,-0.227663629122814,-0.865293545169259,-0.348551764363002,FALSE,0.440970620776525,0.216225804175917,0.342803575047558,0.440970620776525
"B1PRL5",1,-0.598624199641864,1.2168847923014,-1.00544825159549,0.387187658935953,FALSE,0.441057029275349,0.441057029275349,0.173489132716618,0.385453838008033
"Q63355",3,1.39227254303094,-0.458228086993823,-0.922754969482947,-0.0112894865541733,FALSE,0.441567719380337,0.233447104398065,0.324985176221598,0.441567719380337
